Dim1,Dim2
-1253.2262087681681,1583.0014973056216
-1178.822160526513,1380.599906674427
-1264.1334401667013,1417.2594551546808
-1277.5814735792899,1380.3382902713865
-1410.0380994270517,1340.8750609579906
-1424.6277029721575,1430.0008883468658
-1441.2976016447053,1503.951006725685
-1548.3499083375286,1555.9858504084377
-1512.3911618651819,1498.6793360944393
-1490.0657613775616,1438.0904894698
-1467.0685435107318,1372.6935408800377
-1354.476382875488,1449.8499406607632
-1352.5286860244555,1394.2112770996387
-1356.4209549740833,1318.1788033950888
-1400.4822332876568,1478.8224516007488
-1489.3192907128487,1553.9786475573244
-1447.4494770266565,1400.9285892764822
-1510.6579021198759,1474.4245638124462
-1567.1957888663935,1576.9141830252145
-1618.6364407889153,1542.6724290567233
-1383.0839306936953,1307.4747740556786
-1482.3839924480421,1378.4375052908583
-1202.4938763442988,1379.0927291288306
-1034.7204475429276,1464.825424142373
-944.5209687018485,1303.0446410702573
-1024.0057087959035,1287.2497500414265
-1081.69829950165,1337.214431560902
-1082.8812360151367,1287.8795142161089
-1116.5695298048513,1252.6611560746624
-1076.3973585667356,1173.4573240404925
-1149.5145319384842,1205.2408496815808
-1187.3351956011745,1254.3122048389869
-1201.5292049662353,1340.3246646559467
-1229.3981123625433,1326.657727129186
-1252.4773643198262,1270.6146900517479
-1293.6594651014773,1312.1872189914534
-943.2790284849872,1453.6487333159107
-1130.604452838232,1330.0159376869387
-1172.1433363627773,1354.2954168060623
-1155.3303351464444,1302.99371721322
-1226.9776939769858,1236.9278041310124
-1197.6127040055617,1198.1477851885722
-1016.0374354015468,1230.8580296452135
-965.3273373593539,1239.1363635182136
-1027.7490293973024,1182.390971888453
-1101.0597847621536,1200.4822803404375
-1073.7307182607644,1495.6898464236253
-1039.3905695662775,1491.2758160117062
-1066.9905981278282,1327.7544126443745
-1157.637641935519,1174.7794881906736
-1184.8216815895835,1252.2075952087262
-1219.3497853834044,1228.0755646710056
-1268.8430350951387,1267.6853601810192
-1272.584649814222,1287.5932991981722
-1013.0421853113478,1288.5676905108655
-1060.7490769981346,1473.234340326792
-670.9877764874121,1404.9098211963105
-625.2933265031311,1238.9727599005903
-708.8163256700205,1216.4767495749109
-727.8976716475274,1177.6132101086762
-770.0341980569575,1221.997789045475
-772.6427692239547,1263.468363246503
-807.6294118661015,1257.8824061216692
-822.1265632297847,1205.6063129361548
-877.5816731969792,1242.727579130458
-646.1792627056248,1187.6454482543938
-663.7859080895599,1145.712172431637
-873.5950125932459,1292.1686070928906
-730.0360358376573,1254.1866378187144
-734.6648710750295,1229.4787742458393
-743.4254442592866,1211.3562056298047
-775.6769213652726,1241.5491493266027
-794.7816616340699,1238.4168790865428
-792.920491079984,1208.4438976273268
-771.2644802602885,1274.6556778502295
-733.9643471183837,1126.4829186878828
-697.4573710739892,1042.2347132606546
-697.7078388241539,944.1101496447612
-778.3778668825626,1020.1393814280716
-858.3948574107609,1043.533497819328
-834.2359340876083,1141.315316598047
-920.7970386039129,1180.4676138582747
-924.9655047827127,1038.4866941206155
-997.4991226986821,1120.5878937911618
-845.8009253272038,950.5097629586336
-843.0135809194604,1091.7294009742377
-979.0335419930394,1060.4238606054387
-572.1234195730633,1188.436669506344
-533.2794206197301,1132.081537587639
-499.07861497757716,1073.4802728673117
-541.461659219586,1007.465094857728
-531.8911524476247,934.2677482276603
-564.2646611447934,896.4379135890384
-611.7891546402437,980.225211841685
